Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	1.379230e-07	8.615043e-06	0	0	2.391484e+00	3.777725e+01	ARL6IP1;ZFAND6;CIB1;PARK7;TRIAP1;AATF;TM7SF3;CCND2;ARHGDIA;RPS6KA1;CFL1;PIM1;CD38;ANXA1;ANXA4;SERPINB9;MIF;YWHAZ;TAX1BP1;TMBIM6;SQSTM1;RAB7A;HDAC2;HDAC1;GSTP1;GLO1;HIGD1A;RELA;MTDH;HSP90B1;SOCS2;PRDX5;MIEN1;IRAK1;UBB;PDCD10;DDRGK1;UBC;FLNA;BNIP2;PTK2B;HSPA9;PRELID1;XBP1;HSPA5;SEMA4D;MGMT;CFLAR;DNAJA1;DAB2;HNRNPK;SON;IL2RB;CIAPIN1;BCL2L1
GO_Biological_Process_2021	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	1.432444e-07	8.794218e-06	0	0	2.326415e+00	3.666130e+01	UBE2D3;AUP1;PSMD8;PSMD6;PSMD7;MAEA;PSMD4;FBXO6;SEC61B;UBXN4;SKP1;FBXW4;FBXW5;NHLRC3;PPP2R5C;RAD23B;SIRT2;PSMA5;PSMA6;RNF126;PSMA4;KCTD10;DDIT3;PSME1;PSME2;ANAPC5;RBCK1;ANAPC16;PSMD14;PSMD13;DERL1;DERL2;UBE2J2;RNF5;PSMA7;PSMB10;HSP90B1;PSMB6;PSMB7;SHARPIN;OS9;PSMB2;UBB;PSMB3;TBX21;PSMB1;UBC;BUB3;CRBN;HSPA5;PSMB8;PSMB9;SPSB3;PSMC3;PSMC4;STUB1;STT3B;RNF187
GO_Biological_Process_2021	Fc receptor mediated stimulatory signaling pathway (GO:0002431)	1.449943e-07	8.794218e-06	0	0	4.463792e+00	7.028942e+01	CYFIP2;ACTR3;LYN;HSP90AA1;FCER1G;WIPF1;WAS;ARPC4;ARPC5;ACTB;ACTG1;FGR;CDC42;FCGR3A;ARPC2;ARPC3;ABI1;MAPK1;FYN;RAC1;CD247;NCK1;MYO1G
GO_Biological_Process_2021	RNA splicing (GO:0008380)	1.726774e-07	1.032364e-05	0	0	3.794712e+00	5.909064e+01	SF3B4;SF3B3;RBM8A;PPP2CA;PPP2R1A;SNRPD1;MAGOH;SNRNP35;TXNL4A;SF3B1;SRSF11;IVNS1ABP;SRPK2;MBNL1;SCAF11;LSM1;USB1;SNRNP40;SCNM1;SNRPG;SRSF2;LUC7L3;SRSF4;RNPS1;SRSF7;SLU7;SNRPB
GO_Biological_Process_2021	regulation of cell cycle phase transition (GO:1901987)	1.953258e-07	1.151322e-05	0	0	3.892157e+00	6.012836e+01	ANAPC16;PSMD14;PSMD13;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;PSMD7;PSMD4;PSMB2;PSMB3;PSMB1;BUB3;SKP1;PSMB8;PSMB9;PSMA5;PSMA6;PSMA4;PSMC3;PSMC4;PSME1;PSME2;ANAPC5
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	2.733634e-07	1.588925e-05	0	0	4.456898e+00	6.735471e+01	CYFIP2;ACTR3;LYN;HSP90AA1;WIPF1;WAS;ARPC4;ARPC5;ACTB;ACTG1;FGR;CDC42;FCGR3A;ARPC2;ARPC3;ABI1;MAPK1;FYN;RAC1;CD247;NCK1;MYO1G
GO_Biological_Process_2021	post-translational protein modification (GO:0043687)	2.847524e-07	1.632451e-05	0	0	2.393616e+00	3.607574e+01	KEAP1;PRSS23;DCAF7;PSMD8;NUB1;PSMD6;LGALS1;PSMD7;PSMD4;FBXO6;RAB8A;SKP1;FBXW4;RAB2A;WSB1;FBXW5;SHISA5;PDIA6;RABGGTA;PSMA5;PSMA6;RCN1;PSMA4;PSME1;PSME2;PSMD14;PSMD13;PSMA7;PSMB10;HSP90B1;PSMB6;SOCS2;PSMB7;PSMB2;PSMB3;PSMB1;IGFBP7;RBBP7;UBE2F;ZBTB16;PSMB8;PSMB9;SPSB3;COPS6;PSMC3;PSMC4;ASB8;NUCB1;STT3B;P4HB;COPS8;ASB1
GO_Biological_Process_2021	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	3.418955e-07	1.933558e-05	0	0	3.051857e+00	4.543837e+01	PSMD14;PSMD13;CETN2;VPS4B;DCTN3;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;ACTR1A;PSMD7;PSMD4;PSMB2;PPP2R1A;PSMB3;PSMB1;SKP1;CEP78;HSP90AA1;TUBB;CSNK1D;DYNLL1;PSMB8;PSMB9;PSMA5;PSMA6;PSMA4;PSMC3;PSMC4;PSME1;PSME2;MAPRE1
GO_Biological_Process_2021	negative regulation of canonical Wnt signaling pathway (GO:0090090)	4.147756e-07	2.283995e-05	0	0	3.304493e+00	4.856127e+01	PSMD14;PSMD13;HDAC1;PSMA7;PSMB10;PSMD8;PSMB6;SLC9A3R1;PSMB7;PSMD6;PSMD7;PSMD4;PSMB2;PSMB3;PSMB1;CSNK1A1;PSMB8;PSMB9;PSMA5;MAD2L2;PSMA6;DAB2;PSMA4;SDHAF2;PSMC3;PSMC4;DDIT3;CCDC88C;PSME1;PSME2
GO_Biological_Process_2021	regulation of primary metabolic process (GO:0080090)	4.147756e-07	2.283995e-05	0	0	3.304493e+00	4.856127e+01	IDI1;PSMD14;PSMD13;ADIPOR1;PSMA7;PSMB10;PSMD8;HELZ2;PSMB6;PSMB7;PSMD6;PSMD7;PSMD4;PSMB2;PSMB3;PSMB1;FDFT1;FDPS;PSMB8;PSMB9;PSMA5;PSMA6;NCOR1;PSMA4;PSMC3;PSMC4;ID2;PSME1;PSME2;MVD
GO_Biological_Process_2021	positive regulation of canonical Wnt signaling pathway (GO:0090263)	4.761619e-07	2.587971e-05	0	0	3.456682e+00	5.032068e+01	PSMD14;PSMD13;GSKIP;ILK;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;PSMD7;PSMD4;PSMB2;PSMB3;PSMB1;TGFB1;ATP6AP2;CSNK1D;PSMB8;PSMB9;PSMA5;PSMA6;PSMA4;PSMC3;PSMC4;PSME1;PSME2;PIN1
GO_Biological_Process_2021	positive regulation of protein localization to membrane (GO:1905477)	5.889366e-07	3.159871e-05	0	0	4.032941e+00	5.785232e+01	FIS1;PRKCH;ITGAM;YWHAB;ITGB2;RHOG;GZMB;CIB1;YWHAZ;BBC3;CASP8;PPP3CC;YWHAQ;IFNG;TFDP2;KIF5B;ERBB2;PMAIP1;ITGB1BP1;FYN;STX4;SQSTM1;ARF6
GO_Biological_Process_2021	regulation of protein localization to plasma membrane (GO:1903076)	7.214136e-07	3.821666e-05	0	0	4.553294e+00	6.439292e+01	PRKCH;TGFB1;STX8;CLTC;RHOG;CIB1;ACTB;VAMP8;TMEM59;DAB2;IFNG;ABI3;KIF5B;TMBIM1;STX4;SQSTM1;AP2M1;ARF6;VTI1B;BCL2L1
GO_Biological_Process_2021	negative regulation of Wnt signaling pathway (GO:0030178)	7.513842e-07	3.930678e-05	0	0	3.048793e+00	4.299209e+01	PSMD14;PSMD13;HDAC1;PSMA7;PSMB10;PSMD8;PSMB6;SLC9A3R1;PSMB7;PSMD6;PSMD7;RNF213;PSMD4;PSMB2;PSMB3;PSMB1;WWOX;CSNK1A1;PSMB8;PSMB9;PSMA5;MAD2L2;PSMA6;DAB2;PSMA4;SDHAF2;PSMC3;PSMC4;DDIT3;CCDC88C;PSME1;PSME2
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	7.763758e-07	4.011275e-05	0	0	7.064194e+00	9.938352e+01	PDIA3;SEC13;FCER1G;HLA-B;HLA-C;TAP1;TAPBPL;HLA-A;HLA-F;HLA-E;TAPBP;CANX;CALR;B2M
GO_Biological_Process_2021	response to interferon-gamma (GO:0034341)	9.933565e-07	5.069752e-05	0	0	4.962709e+00	6.859544e+01	GBP5;IFITM1;SP100;IFITM2;CCL4L1;BST2;NUB1;CCL5;CCL4;CASP1;XCL2;CCL3;XCL1;CD47;GBP2;IL12RB1;GAPDH;GBP4
GO_Biological_Process_2021	protein-DNA complex assembly (GO:0065004)	1.131174e-06	5.703571e-05	0	0	3.191963e+00	4.370517e+01	PSMD14;PSMD13;CETN2;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;PSMD7;PSMD4;UBB;PSMB2;PSMB3;UBC;PSMB1;SMARCA5;RPA2;RAD23B;PSMB8;PSMB9;PSMA5;PSMA6;PSMA4;PSMC3;PSMC4;PSME1;PSME2;MNAT1
